Advertising | 52 | 4.55 | -1.34% | 4.66 | 27.72%
Aerospace/Defense | 79 | 7.88 | 15.27% | 6.39 | 16.01%
Air Transport | 23 | 2.84 | 14.19% | 1.79 | 7.93%
Apparel | 35 | 3.89 | 10.42% | 2.89 | 15.77%
Auto & Truck | 33 | 7.72 | 3.16% | 3.46 | 2.25%
Auto Parts | 35 | 1.87 | 2.17% | 1.43 | 8.98%
Bank (Money Center) | 15 | 1.62 | 12.86% | 1.31 | NA
Banks (Regional) | 568 | 1.14 | 9.75% | 1.33 | NA
Beverage (Alcoholic) | 14 | 1.91 | 0.57% | 1.91 | 15.74%
Beverage (Soft) | 27 | 6.87 | 30.92% | 5.39 | 29.03%
Broadcasting | 24 | 1.66 | 3.99% | 1.69 | 14.57%
Brokerage & Investment Banking | 32 | 2.81 | 17.77% | 1.52 | NA
Building Materials | 41 | 3.62 | 16.00% | 3.68 | 20.16%
Business & Consumer Services | 155 | 5.30 | 18.20% | 6.00 | 28.30%
Cable TV | 9 | 1.31 | 11.06% | 1.53 | 12.06%
Chemical (Basic) | 29 | 1.12 | -8.29% | 1.18 | 3.72%
Chemical (Specialty) | 59 | 2.45 | 3.50% | 2.53 | 10.95%
Computer Services | 64 | 4.73 | 18.25% | 5.20 | 26.35%
Computers/Peripherals | 36 | 34.08 | -0.17% | 13.40 | 44.76%
Drugs (Biotechnology) | 496 | 8.22 | -5.67% | 3.21 | 3.53%
Drugs (Pharmaceutical) | 228 | 6.64 | 24.04% | 3.83 | 16.95%
Electronics (General) | 114 | 4.97 | 12.62% | 5.34 | 17.91%
Entertainment | 92 | 4.80 | 6.09% | 4.97 | 12.42%
Financial Svcs. (Non-bank & Insurance) | 176 | 3.66 | 28.82% | 1.29 | NA
Food Processing | 78 | 1.80 | 4.60% | 2.41 | 15.95%
Healthcare Products | 204 | 4.44 | 11.26% | 4.70 | 16.98%
Healthcare Support Services | 104 | 2.80 | 9.89% | 4.83 | 31.19%
Hospitals/Healthcare Facilities | 31 | 5.62 | 50.84% | 2.79 | 22.16%
Household Products | 110 | 5.85 | 27.02% | 5.67 | 34.42%
Insurance (General) | 21 | 3.45 | 19.07% | 6.55 | 44.51%
Insurance (Life) | 20 | 1.43 | 12.87% | 1.37 | 10.77%
Insurance (Prop/Cas.) | 57 | 2.02 | 18.71% | 2.03 | 18.49%
Investments & Asset Management | 283 | 2.49 | 15.88% | 2.42 | 14.25%
Machinery | 105 | 4.50 | 16.42% | 5.68 | 24.41%
Metals & Mining | 73 | 4.34 | 17.79% | 3.65 | 27.04%
Oil/Gas (Production and Exploration) | 142 | 1.36 | 12.21% | 1.26 | 13.73%
Power | 46 | 2.28 | 12.40% | 1.57 | 6.92%
R.E.I.T. | 190 | 1.99 | 5.04% | 1.43 | 3.20%
Restaurant/Dining | 64 | 74.74 | 0.10% | 5.64 | 18.36%
Retail (General) | 23 | 7.19 | 26.05% | 4.26 | 13.59%
Retail (Special Lines) | 94 | 7.25 | 30.12% | 4.44 | 21.54%
Semiconductor | 66 | 13.31 | 31.36% | 11.19 | 27.23%
Semiconductor Equip | 31 | 9.70 | 35.78% | 7.88 | 28.40%
Software (Entertainment) | 77 | 9.10 | 36.51% | 6.05 | 27.02%
Software (Internet) | 29 | 10.86 | -1.47% | 5.69 | 3.43%
Software (System & Application) | 309 | 9.14 | 29.62% | 7.85 | 29.32%
Steel | 19 | 1.88 | 3.68% | 1.89 | 6.72%
Telecom (Wireless) | 12 | 3.47 | 16.06% | 2.06 | 10.37%
Telecom. Equipment | 57 | 8.37 | 24.96% | 7.90 | 25.47%
Telecom. Services | 39 | 1.64 | 19.82% | 1.47 | 12.04%
Tobacco | 10 | NA | NA | 10.00 | 63.08%
Utility (General) | 14 | 1.81 | 10.42% | 1.38 | 5.99%
Utility (Water) | 14 | 2.00 | 10.28% | 1.57 | 7.25%
Total Market | 5994 | 4.61 | 17.21% | 2.74 | 8.96%
