Advertising | 52 | 78.85% | 132.24 | 44.43 | 52.87 | 460.52 | 25.51 | 2.29% | 11.16
Aerospace/Defense | 79 | 50.63% | 118.00 | 92.80 | 45.87 | 78.11 | 35.27 | 25.04% | 1.41
Air Transport | 23 | 60.87% | 15.55 | 18.32 | 11.37 | 26.12 | 12.87 | 30.21% | 0.43
Apparel | 35 | 62.86% | 82.10 | 37.83 | 24.89 | 41.21 | 27.09 | 13.63% | 1.99
Auto & Truck | 33 | 81.82% | 44.59 | 64.32 | 49.04 | 148.45 | 119.62 | 10.22% | 11.71
Auto Parts | 35 | 48.57% | 27.85 | 28.07 | 15.13 | 46.96 | 20.23 | 15.97% | 1.27
Bank (Money Center) | 15 | 6.67% | 17.58 | 14.95 | 13.04 | 14.99 | 14.17 | 13.74% | 1.03
Banks (Regional) | 568 | 14.08% | 34.74 | 33.60 | 11.00 | 14.99 | 12.60 | 13.96% | 0.90
Beverage (Alcoholic) | 14 | 64.29% | 34.97 | 28.30 | 12.84 | 24.30 | 16.57 | 3.89% | 4.26
Beverage (Soft) | 27 | 70.37% | 37.11 | 47.76 | 23.70 | 26.92 | 26.25 | 15.44% | 1.70
Broadcasting | 24 | 70.83% | 6.38 | 44.76 | 17.50 | NA | 13.47 | 0.87% | 15.52
Brokerage & Investment Banking | 32 | 21.88% | 26.81 | 86.54 | 19.86 | 24.36 | 19.80 | 20.30% | 0.98
Building Materials | 41 | 29.27% | 21.06 | 32.80 | 18.39 | 14.71 | 17.12 | 10.19% | 1.68
Business & Consumer Services | 155 | 56.77% | 35.43 | 36.40 | 18.70 | 30.80 | 24.15 | 12.80% | 1.89
Chemical (Basic) | 29 | 75.86% | 14.07 | 24.42 | 22.82 | 18.45 | 18.40 | 19.81% | 0.93
Chemical (Specialty) | 59 | 59.32% | 161.70 | 196.77 | 19.32 | 48.06 | 23.18 | 8.46% | 2.74
Computer Services | 64 | 54.69% | 26.45 | 51.60 | 56.54 | 30.24 | 26.06 | 12.33% | 2.11
Computers/Peripherals | 36 | 61.11% | 80.95 | 81.13 | 36.15 | 36.18 | 34.33 | 25.42% | 1.35
Drugs (Biotechnology) | 496 | 89.52% | 109.27 | 64.28 | 63.76 | NA | 32.05 | 38.08% | 0.84
Drugs (Pharmaceutical) | 228 | 84.65% | 335.27 | 55.67 | 24.19 | 58.92 | 24.95 | 17.81% | 1.40
Electronics (General) | 114 | 59.65% | 52.00 | 48.44 | 29.61 | 56.65 | 40.20 | 17.69% | 2.27
Entertainment | 92 | 82.61% | 171.99 | 108.63 | 42.73 | NA | 32.46 | 5.75% | 5.64
Financial Svcs. (Non-bank & Insurance) | 176 | 40.91% | 65.59 | 26.14 | 16.38 | 22.85 | 22.08 | 22.02% | 1.00
Food Processing | 78 | 60.26% | 30.97 | 47.97 | 17.23 | 16.78 | 16.50 | 2.66% | 6.21
Healthcare Products | 204 | 75.98% | 55.87 | 43.07 | 42.33 | 46.52 | 30.35 | 11.07% | 2.74
Healthcare Support Services | 104 | 62.50% | 94.43 | 83.77 | 55.29 | 23.64 | 21.07 | 12.57% | 1.68
Hospitals/Healthcare Facilities | 31 | 51.61% | 24.35 | 18.80 | 15.65 | 16.72 | 15.61 | 14.98% | 1.04
Household Products | 110 | 71.82% | 65.89 | 33.07 | 16.85 | 24.19 | 19.66 | 8.02% | 2.45
Insurance (General) | 21 | 23.81% | 55.15 | 33.96 | 21.51 | 29.96 | 27.34 | 24.58% | 1.11
Insurance (Life) | 20 | 25.00% | 19.86 | 12.56 | 9.30 | 10.17 | 11.82 | -30.45% | NA
Insurance (Prop/Cas.) | 57 | 14.04% | 18.05 | 18.33 | 16.36 | 16.52 | 11.78 | 15.33% | 0.77
Investments & Asset Management | 283 | 57.60% | 378.64 | 75.30 | 18.77 | 24.80 | 22.99 | 15.00% | 1.53
Machinery | 105 | 42.86% | 42.60 | 35.76 | 24.06 | 26.22 | 26.64 | 13.55% | 1.97
Metals & Mining | 73 | 84.93% | 92.87 | 54.12 | 29.82 | 45.55 | 29.45 | 34.42% | 0.86
Oil/Gas (Production and Exploration) | 142 | 59.15% | 21.36 | 30.98 | 16.14 | 15.22 | 12.68 | 4.90% | 2.59
Power | 46 | 10.87% | 20.75 | 24.74 | 17.59 | 23.13 | 20.98 | 9.60% | 2.19
R.E.I.T. | 190 | 33.68% | 62.98 | 36.95 | 45.11 | 56.11 | 28.10 | 4.29% | 6.55
Restaurant/Dining | 64 | 46.88% | 67.67 | 48.33 | 31.90 | 36.36 | 32.79 | 3.53% | 9.29
Retail (General) | 23 | 26.09% | 46.68 | 51.00 | 23.97 | 43.04 | 33.49 | 11.71% | 2.86
Retail (Special Lines) | 94 | 61.70% | 26.04 | 314.01 | 21.52 | 27.75 | 24.91 | 8.08% | 3.08
Semiconductor | 66 | 62.12% | 70.13 | 100.18 | 37.29 | 77.42 | 48.81 | 22.88% | 2.13
Semiconductor Equip | 31 | 45.16% | 47.58 | 46.83 | 41.58 | 35.88 | 34.18 | 18.74% | 1.82
Software (Entertainment) | 77 | 71.43% | 70.74 | 39.34 | 18.52 | 34.47 | 29.62 | 20.55% | 1.44
Software (Internet) | 29 | 72.41% | 162.98 | 67.21 | 64.81 | NA | 34.82 | 20.90% | 1.67
Software (System & Application) | 309 | 70.23% | 122.49 | 79.17 | 34.13 | 49.13 | 37.52 | 22.76% | 1.65
Steel | 19 | 36.84% | 77.37 | 47.58 | 16.85 | 23.62 | 24.07 | 16.04% | 1.50
Telecom (Wireless) | 12 | 75.00% | 21.64 | 107.14 | 35.63 | 21.37 | 19.49 | 15.10% | 1.29
Telecom. Equipment | 57 | 68.42% | 125.46 | 84.72 | 39.47 | 48.01 | 35.08 | 40.27% | 0.87
Telecom. Services | 39 | 79.49% | 26.52 | 16.79 | 26.50 | 14.39 | 8.02 | 59.42% | 0.13
Tobacco | 10 | 50.00% | 22.98 | 23.21 | 17.64 | 19.02 | 19.81 | 6.11% | 3.24
Utility (General) | 14 | 0.00% | 21.03 | 19.92 | 18.13 | 21.67 | 20.48 | 6.91% | 2.96
Utility (Water) | 14 | 28.57% | 21.99 | 23.07 | 21.30 | 22.00 | 20.22 | 7.65% | 2.64
Total Market | 5994 | 57.16% | 72.19 | 57.86 | 27.66 | 34.22 | 26.56 | 13.95% | 1.90
