Advertising | 52 | 1.21 | 9.35% | 71.33% | 62.91% | 5.29% | 5.02% | 3.97% | 28.67% | 7.81%
Aerospace/Defense | 79 | 0.95 | 8.17% | 86.53% | 46.45% | 5.29% | 11.58% | 3.97% | 13.47% | 7.60%
Air Transport | 23 | 1.19 | 9.24% | 52.31% | 59.00% | 5.29% | 8.29% | 3.97% | 47.69% | 6.72%
Apparel | 35 | 0.94 | 8.12% | 76.17% | 46.26% | 5.29% | 9.61% | 3.97% | 23.83% | 7.13%
Auto & Truck | 33 | 1.46 | 10.45% | 83.55% | 61.83% | 5.29% | 3.74% | 3.97% | 16.45% | 9.38%
Auto Parts | 35 | 1.34 | 9.92% | 70.69% | 49.87% | 5.29% | 15.00% | 3.97% | 29.31% | 8.18%
Bank (Money Center) | 15 | 0.76 | 7.34% | 37.85% | 22.74% | 4.73% | 18.43% | 3.55% | 62.15% | 4.98%
Banks (Regional) | 568 | 0.40 | 5.73% | 65.75% | 22.68% | 4.73% | 17.61% | 3.55% | 34.25% | 4.98%
Beverage (Alcoholic) | 14 | 0.81 | 7.57% | 69.76% | 55.96% | 5.29% | 12.35% | 3.97% | 30.24% | 6.48%
Beverage (Soft) | 27 | 0.64 | 6.81% | 82.93% | 57.89% | 5.29% | 6.85% | 3.97% | 17.07% | 6.33%
Broadcasting | 24 | 0.47 | 6.05% | 53.81% | 46.62% | 5.29% | 7.73% | 3.97% | 46.19% | 5.09%
Brokerage & Investment Banking | 32 | 1.17 | 9.17% | 42.45% | 36.61% | 5.07% | 15.27% | 3.80% | 57.55% | 6.08%
Building Materials | 41 | 1.11 | 8.91% | 79.37% | 35.28% | 5.07% | 18.02% | 3.80% | 20.63% | 7.85%
Business & Consumer Services | 155 | 0.89 | 7.91% | 83.53% | 41.11% | 5.07% | 10.38% | 3.80% | 16.47% | 7.23%
Cable TV | 9 | 0.74 | 7.25% | 40.50% | 44.04% | 5.07% | 10.64% | 3.80% | 59.50% | 5.20%
Chemical (Basic) | 29 | 1.01 | 8.46% | 50.16% | 45.81% | 5.29% | 7.68% | 3.97% | 49.84% | 6.22%
Chemical (Specialty) | 59 | 0.97 | 8.28% | 76.99% | 42.31% | 5.07% | 13.68% | 3.80% | 23.01% | 7.25%
Computer Services | 64 | 1.09 | 8.80% | 79.94% | 53.43% | 5.29% | 10.53% | 3.97% | 20.06% | 7.83%
Computers/Peripherals | 36 | 1.35 | 9.97% | 95.58% | 54.58% | 5.29% | 5.91% | 3.97% | 4.42% | 9.71%
Drugs (Biotechnology) | 496 | 1.14 | 9.01% | 88.46% | 75.68% | 6.02% | 1.08% | 4.51% | 11.54% | 8.49%
Drugs (Pharmaceutical) | 228 | 0.98 | 8.33% | 87.31% | 76.64% | 6.02% | 2.99% | 4.51% | 12.69% | 7.85%
Electronics (General) | 114 | 0.97 | 8.28% | 90.08% | 51.84% | 5.29% | 8.04% | 3.97% | 9.92% | 7.85%
Entertainment | 92 | 0.83 | 7.63% | 86.27% | 48.71% | 5.29% | 3.30% | 3.97% | 13.73% | 7.13%
Financial Svcs. (Non-bank & Insurance) | 176 | 0.97 | 8.27% | 26.87% | 42.47% | 5.07% | 12.06% | 3.80% | 73.13% | 5.00%
Food Processing | 78 | 0.61 | 6.66% | 69.57% | 43.47% | 5.07% | 10.37% | 3.80% | 30.43% | 5.79%
Healthcare Products | 204 | 0.91 | 8.00% | 88.66% | 61.79% | 5.29% | 4.85% | 3.97% | 11.34% | 7.54%
Healthcare Support Services | 104 | 0.87 | 7.84% | 73.84% | 47.24% | 5.29% | 9.80% | 3.97% | 26.16% | 6.83%
Hospitals/Healthcare Facilities | 31 | 0.80 | 7.52% | 62.53% | 56.46% | 5.29% | 11.35% | 3.97% | 37.47% | 6.19%
Household Products | 110 | 0.82 | 7.59% | 84.64% | 55.46% | 5.29% | 6.50% | 3.97% | 15.36% | 7.03%
Insurance (General) | 21 | 0.67 | 6.95% | 79.60% | 46.07% | 5.29% | 12.77% | 3.97% | 20.40% | 6.34%
Insurance (Life) | 20 | 0.64 | 6.82% | 59.58% | 35.15% | 5.07% | 15.19% | 3.80% | 40.42% | 5.60%
Insurance (Prop/Cas.) | 57 | 0.48 | 6.11% | 87.09% | 28.70% | 4.73% | 18.37% | 3.55% | 12.91% | 5.78%
Investments & Asset Management | 283 | 0.66 | 6.89% | 75.36% | 30.04% | 5.07% | 3.53% | 3.80% | 24.64% | 6.13%
Machinery | 105 | 0.96 | 8.25% | 87.19% | 45.03% | 5.29% | 13.37% | 3.97% | 12.81% | 7.70%
Metals & Mining | 73 | 1.04 | 8.60% | 90.10% | 77.56% | 6.02% | 2.52% | 4.51% | 9.90% | 8.20%
Oil/Gas (Production and Exploration) | 142 | 0.72 | 7.17% | 72.68% | 42.22% | 5.07% | 6.66% | 3.80% | 27.32% | 6.25%
Power | 46 | 0.48 | 6.10% | 57.42% | 25.38% | 4.73% | 12.75% | 3.55% | 42.58% | 5.01%
R.E.I.T. | 190 | 0.64 | 6.81% | 54.21% | 26.37% | 4.73% | 1.58% | 3.55% | 45.79% | 5.32%
Restaurant/Dining | 64 | 0.92 | 8.07% | 78.60% | 41.15% | 5.07% | 9.92% | 3.80% | 21.40% | 7.16%
Retail (General) | 23 | 0.81 | 7.54% | 92.64% | 43.34% | 5.07% | 19.10% | 3.80% | 7.36% | 7.27%
Retail (Special Lines) | 94 | 1.09 | 8.81% | 83.50% | 53.25% | 5.29% | 10.07% | 3.97% | 16.50% | 8.01%
Semiconductor | 66 | 1.52 | 10.72% | 97.47% | 55.83% | 5.29% | 5.11% | 3.97% | 2.53% | 10.55%
Semiconductor Equip | 31 | 1.40 | 10.18% | 95.36% | 50.08% | 5.29% | 9.96% | 3.97% | 4.64% | 9.89%
Software (Entertainment) | 77 | 1.03 | 8.54% | 98.00% | 57.06% | 5.29% | 5.29% | 3.97% | 2.00% | 8.44%
